FrageNr;Frage;Frage_Bild1;Frage_Bild1_scale;Frage_Bild2;Frage_Bild2_scale;AntwortA;AntwortA_Bild;AntwortA_Bild_scale;AntwortB;AntwortB_Bild;AntwortB_Bild_scale;AntwortC;AntwortC_Bild;AntwortC_Bild_scale;AntwortD;AntwortD_Bild;AntwortD_Bild_scale
TK120;Bei einem Besuch beim Nachbarn zur Prüfung von Fernsehrundfunkstörungen ist zunächst;;;;;die Antennenleitung vom Fernsehgeräts zu trennen um zu prüfen, ob die Störungen anhalten.;;;das Fernsehgerät zu erden und abzuschalten um zu prüfen, ob die Störungen anhalten.;;;die Rückseite des Fernsehgeräts zu entfernen und das Gehäuse zu erden.;;;der Netzstecker aus der Steckdose zu ziehen um zu prüfen, ob die Störung über das Netz eingeschleppt wird.;;
TK201;Die Übersteuerung eines Leistungsverstärkers führt zu;;;;;einem hohen Nebenwellenanteil.;;;lediglich geringen Verzerrungen beim Empfang.;;;einer besseren Verständlichkeit am Empfangsort.;;;einer Verringerung der Ausgangsleistung.;;
TK202;In HF-Schaltungen können Nebenresonanzen durch die;;;;;Eigenresonanz der HF-Drosseln hervorgerufen werden.;;;Stromversorgung hervorgerufen werden.;;;Sättigung der Kerne der HF-Spulen hervorgerufen werden.;;;Widerstandseigenschaft einer Drossel hervorgerufen werden.;;
TK203;Diese Modulationshüllkurve eines CW-Senders sollte vermieden werden, da;tk203_a.jpg;1.0;;;wahrscheinlich Tastklicks erzeugt werden.;;;während der Aussetzer Probleme im Leistungsverstärker entstehen könnten.;;;sie schwierig zu interpretieren ist.;;;die Stromversorgung überlastet wird.;;
TK204;Bei einem Sender mit mehr als 2,5 mW Ausgangsleistung sollte die Dämpfung der Oberwellen im Frequenzbereich 1,7-35 MHz mindestens;;;;;40 dB betragen.;;;60 dB betragen.;;;100 dB betragen.;;;20 dB betragen.;;
TK205;Durch welche Maßnahme können Tastklicks verringert werden? Durch;;;;;die Verringerung der Flankensteilheit.;;;die Vergrößerung der Flankensteilheit.;;;den Einsatz eines Bandpassfilters.;;;die Verringerung des Tastenhubes.;;
TK206;Die gesamte Bandbreite einer FM-Aussendung beträgt 15 kHz. Wie groß ist der Abstand der Mittenfrequenz von der Bandgrenze mindestens zu wählen, damit die Aussendung innerhalb des Bandes bleibt?;;;;;7,5 kHz;;;0 kHz;;;15 kHz;;;2,7 kHz;;
TK207;Durch welche Maßnahme kann die übermäßige Bandbreite einer FM-Aussendung verringert werden? Durch die Verringerung der;;;;;Hubeinstellung.;;;HF-Begrenzung.;;;Vorspannung in der Endstufe.;;;Trägerfrequenz.;;
TK208;Parasitäre Schwingungen können Störungen hervorrufen. Man erkennt sie auch daran, dass sie;;;;;keinen festen Bezug zur Betriebsfrequenz haben.;;;bei ungeradzahligen Vielfachen der Betriebsfrequenz auftreten.;;;bei geradzahligen Vielfachen der Betriebsfrequenz auftreten.;;;bei ganzzahligen Vielfachen der Betriebsfrequenz auftreten.;;
TK209;Um Bandbreite einzusparen sollte der Frequenzumfang eines NF-Sprachsignals, das an einen Modulator angelegt wird,;;;;;3 kHz nicht überschreiten.;;;1 kHz nicht überschreiten.;;;800 Hz nicht überschreiten.;;;15 kHz nicht überschreiten.;;
TK210;Wenn HF-Signale unerwünscht auf einen VFO zurückkoppeln, kann dies zu;;;;;Frequenzinstabilität führen.;;;Frequenzsynthese führen.;;;Gegenkopplung führen.;;;Mehrwegeausbreitung führen.;;
TK211;Das Nutzsignal eines 144-MHz-Senders verursacht die Übersteuerung eines in der Nähe befindlichen UHF-Fernsehempfängers. Das Problem lässt sich durch den Einbau eines;;;;;Hochpassfilters in das Antennenzuführungskabel des Fernsehempfängers lösen.;;;Tiefpassfilter in das Antennenzuführungskabel des Fernsehempfängers lösen.;;;Subharmonischenfilters vor dem Tuner des Fernsehempfängers lösen.;;;ZF-Begrenzers hinter dem Tuner des Fernsehempfängers lösen.;;
TK212;Um Oberwellenausstrahlungen eines UHF-Senders zu minimieren, sollte dem Gerät;;;;;ein Tiefpassfilter nachgeschaltet werden.;;;ein Hochpassfilter nachgeschaltet werden.;;;eine Bandsperre vorgeschaltet werden.;;;ein Notchfilter vorgeschaltet werden.;;
TK213;Ein SSB-Sender wird Störungen auf benachbarten Frequenzen hervorrufen, wenn;;;;;der Leistungsverstärker übersteuert wird.;;;das Antennenkabel einen Wackelkontakt hat.;;;die Ansteuerung der NF-Stufe zu gering ist.;;;das Ausgangs-PI-Filter falsch abgestimmt ist.;;
TK214;Im 144-MHz-Bereich werden Störungen festgestellt, die von einem quarzgesteuerten 432-MHz-Sender verursacht werden, dessen Quarzoszillator bei etwa 12 MHz schwingt. Die Oszillatorfrequenz wird in mehreren Stufen vervielfacht. Bei welcher Kombination der Vervielfacher tritt die Störung auf?  Die Störung tritt auf bei der Kombination;;;;;Quarzfrequenz x 2 x 2 x 3 x 3;;;Quarzfrequenz x 2 x 3 x 3 x 2;;;Quarzfrequenz x 3 x 3 x 2 x 3;;;Quarzfrequenz x 3 x 2 x 3 x 2;;
TK215;Bei der Hi-Fi-Anlage des Nachbarn wird Einströmung in die NF festgestellt. Eine mögliche Abhilfe wäre;;;;;geschirmte Lautsprecherleitungen zu verwenden.;;;ein NF-Filter in das Koaxialkabel einzuschleifen.;;;einen Serienkondensator in die Lautsprecherleitung einzubauen.;;;eine geschirmtes Netzkabel für den Receiver zu verwenden.;;
TK216;Bei einem Wohnort in einem Ballungsgebiet empfiehlt es sich, während der abendlichen Fernsehstunden;;;;;mit keiner höheren Leistung zu senden, als für eine sichere Kommunikation unbedingt erforderlich ist.;;;nur mit effektiver Leistung zu senden.;;;die Benutzung der Fernseh-Frequenzbereiche zu vermeiden.;;;die Antenne unterhalb der Dachhöhe herabzulassen.;;
TK217;Falls sich eine Sendeantenne in der Nähe und parallel zu einer 230-V-Wechselstrom-Freileitung befindet,;;;;;können HF-Spannungen ins Netz einkoppeln.;;;können harmonische Schwingungen erzeugt werden.;;;könnte erhebliche Überspannung im Netz erzeugt werden.;;;kann 50-Hz-Modulation beim Sendesignal auftreten.;;
TK218;Zur Verhinderung von Fernsehstörungen, die durch Mantelwellen hervorgerufen werden, ist anstelle einer Mantelwellendrossel alternativ;;;;;der Einbau eines HF-Trenntrafos möglich.;;;der Einbau eines Tiefpassfilters nach dem Senderausgang möglich.;;;der Einbau eines Bandpassfilters nach dem Senderausgang möglich.;;;der Einbau einer seriellen Drosselspule in den Innenleiter der Empfangsantennenleitung möglich.;;
TK219;Eine 435-MHz-Sendeantenne mit hohem Gewinn ist unmittelbar auf eine UHF-Fernseh-Empfangsantenne gerichtet. Dies führt gegebenenfalls zu;;;;;einer Übersteuerung eines TV-Empfängers.;;;Problemen mit dem 435-MHz-Empfänger.;;;Eigenschwingungen des 435-MHz-Senders.;;;dem Durchschlag des TVAntennenkoaxialkabels.;;
TK220;Im Mittelwellenbereich ergeben sich häufig Spiegelfrequenzstörungen durch;;;;;1,8-MHz-Sender.;;;UHF-Sender.;;;VHF-Sender.;;;28-MHz-Sender;;
TK221;Ein korrodierter Anschluss an der Fernseh-Empfangsantenne des Nachbarn;;;;;kann in Verbindung mit dem Signal naher Sender unerwünschte Mischprodukte erzeugen, die den Fernsehempfang stören.;;;kann in Verbindung mit dem Oszillatorsignal des Fernsehempfängers unerwünschte Mischprodukte erzeugen, die den Fernsehempfang stören.;;;kann in Verbindung mit Einstreuungen aus dem Stromnetz durch Intermodulation Bild- und Tonstörungen hervorrufen.;;;kann in Verbindung mit dem Signal naher Sender parametrische Schwingungen erzeugen, die einen überhöhten Nutzsignalpegel hervorrufen.;;
TK222;Eine 435-MHz-Sendeantenne mit 1 kW ERP ist unmittelbar auf die Fernsehantenne des Nachbarn gerichtet. Dies führt gegebenenfalls;;;;;zur Übersteuerung der Vorstufe des Fernsehers.;;;zur Erzeugung von parasitären Schwingungen.;;;zu unerwünschten Reflexionen des Sendesignals.;;;zu Zeilenfrequenzstörungen beim 435-MHz-Empfang.;;
TK301;Um die Störwahrscheinlichkeit zu verringern, sollte die benutzte Sendeleistung;;;;;auf das für eine zufrieden stellende Kommunikation erforderliche Minimum eingestellt werden.;;;nur auf den zulässigen Pegel eingestellt werden.;;;auf die für eine zufrieden stellende Kommunikation erforderlichen 750 W eingestellt werden.;;;die Hälfte des maximal zulässigen Pegels betragen.;;
TK302;Wie kann man hochfrequente Störungen reduzieren, die durch Harmonische hervorgerufen werden? Sie können reduziert werden durch ein;;;;;Oberwellenfilter;;;Nachbarkanalfilter;;;ZF-Filter;;;Hochpassfilter;;
TK303;Welchen Frequenzgang sollte ein Filter zur Verringerung der Oberwellenausgangsleistung eines KW-Senders haben?;;;;;;tk303_a.jpg;1.0;;tk303_b.jpg;1.0;;tk303_c.jpg;1.0;;tk303_d.jpg;1.0
TK304;Welches Filter sollte im Störungsfall für die Dämpfung von Kurzwellensignalen in ein Fernsehantennenkabel eingeschleift werden?;;;;;Hochpassfilter;;;Tiefpassfilter;;;Bandsperre für die Fernsehbereiche;;;Regelbares Dämpfungsglied;;
TK305;Was sollte zur Herabsetzung starker Signale eines 21-MHz-Senders in das Fernseh-Antennenzuführungskabel eingeschleift werden?;;;;;Hochpassfilter;;;Tiefpassfilter;;;UHF-Abschwächer;;;UHF-Bandsperre;;
TK306;Welches Filter sollte im Störungsfall vor die einzelnen Leitungsanschlüsse eines UKW- oder Fernsehrundfunkgeräts oder angeschlossener Geräte eingeschleift werden, um Kurzwellensignale zu dämpfen?;;;;;Ein Hochpassfilter vor dem Antennenanschluss und zusätzlich je eine hochpermeable Ferritdrossel vor alle Leitungsanschlüsse der gestörten Geräte.;;;Je ein Tiefpassfilter unmittelbar vor dem Antennenanschluss und in das Netzkabel der gestörten Geräte.;;;Eine Bandsperre für die Fernsehbereiche unmittelbar vor dem Antennenanschluss und ein Tiefpassfilter in das Netzkabel der gestörten Geräte.;;;Ein Bandpassfilter bei 30 MHz unmittelbar vor dem Antennenanschluss und ein Tiefpassfilter in das Netzkabel der gestörten Geräte.;;
TK307;Die Signale eines 144-MHz-Senders werden in das Abschirmgeflecht des Antennenkabels eines FM-Rundfunkempfängers induziert und verursachen Störungen. Eine Möglichkeit zur Verringerung der Störungen besteht darin,;;;;;eine Mantelwellendrossel in das Kabel vor den FM-Rundfunkempfänger einzusetzen.;;;die Erdverbindung des Senders abzuklemmen.;;;das Abschirmgeflecht am Antennenstecker des Empfängers abzuklemmen.;;;den 144-MHz-Sender mit einem Tiefpassfilter auszustatten.;;
TK308;Um die Störwahrscheinlichkeit im eigenen Haus zu verringern, empfiehlt es sich vorzugsweise;;;;;eine vom Potenzialausgleich getrennte HF-Erdleitung zu verwenden.;;;Antennen auf dem Dachboden zu errichten.;;;die Amateurfunkgeräte mit einem Wasserrohr zu verbinden.;;;die Amateurfunkgeräte mittels des Schutzleiters zu erden.;;
TK309;Erdleitungen sollten immer;;;;;über eine niedrige Impedanz verfügen.;;;über eine hohe Reaktanz verfügen.;;;über eine hohe Impedanz verfügen.;;;induktiv gekoppelt sein.;;
TK310;Eine KW-Amateurfunkstelle verursacht im Sendebetrieb in einem in der Nähe betriebenen Fernsehempfänger Störungen. Welches Filter sollte man am besten in das Fernsehantennenkabel einschleifen, um die Störwahrscheinlichkeit zu verringern?;;;;;;tk310_a.jpg;1.0;;tk310_b.jpg;1.0;;tk310_c.jpg;1.0;;tk310_d.jpg;1.0
TK311;Die Einfügungsdämpfung im Durchlassbereich eines passiven Hochpassfilters für ein Fernsehantennenkabel sollte;;;;;höchstens 2 bis 3 dB betragen.;;;höchstens 10 bis 15 dB betragen.;;;mindestens 40 bis 60 dB betragen.;;;mindestens 80 bis 100 dB betragen.;;
TK312;Ein Nachbar beschwert sich über Störungen seines Fernsehempfängers, die allerdings auch bei abgeschalteter TV-Antenne auftreten. Die Störungen fallen zeitlich mit den Übertragungszeiten des Funkamateurs zusammen. Als erster Schritt;;;;;ist ein Netzfilter vorzusehen.;;;ist das Fernsehgerät und der Sender von der Bundesnetzagentur zu überprüfen.;;;ist die Rückseite des Fernsehgeräts zu entfernen und das Gehäuse zu erden.;;;ist der EMV-Beauftragte des RTA um Prüfung des Fernsehgeräts zu bitten.;;
TK313;Welches der nachfolgenden Filter könnte vor einem Netzanschlusskabel eingeschleift werden, um darüber fließende HF-Ströme wirksam zu dämpfen?;;;;;;tk313_a.jpg;1.0;;tk313_b.jpg;1.0;;tk313_c.jpg;1.0;;tk313_d.jpg;1.0
TK314;Beim Betrieb eines Funkempfängers mit digitalen Schaltungen auf einer gedruckten Leiterplatte treten erhebliche Störungen auf. Diese könnten verringert werden, indem die Leiterplatte;;;;;in einem geerdeten Metallgehäuse untergebracht wird.;;;in Epoxydharz eingegossen wird.;;;über kunststoffisolierte Leitungen angeschlossen wird.;;;in einem Kunststoffgehäuse untergebracht wird.;;
TK315;In einer Babyüberwachungsanlage mit zwei Geräten, die über ein langes Zwillingslitzenkabel miteinander verbunden sind, treten Störungen durch den Betrieb eines nahen Senders auf. Eine Möglichkeit zur Verringerung der Beeinflussungen besteht darin,;;;;;ein geschirmtes Verbindungskabel zu verwenden.;;;die Länge des Kabels zu verdoppeln.;;;ein doppeltes Zwillingslitzenkabel zu verwenden.;;;das Zwillingslitzenkabel aufzusplitten und getrennt zu verlegen.;;
TK316;Welche Art von Kondensatoren sollte zum Abblocken von HF-Spannungen vorzugsweise verwendet werden? Am besten verwendet man;;;;;Keramikkondensatoren.;;;Aluminium-Elektrolytkondensatoren.;;;Tantalkondensatoren.;;;Polykarbonatkondensatoren.;;
TK317;Um etwaige Funkstörungen auf Nachbarfrequenzen zu begrenzen, sollte bei Telefonie die höchste zu übertragende NF-Frequenz;;;;;unter 3 KHz liegen.;;;unter 1 KHz liegen.;;;unter 5 KHz liegen.;;;unter 10 KHz liegen.;;
TK318;In den nachfolgenden Bildern sind mögliche Signalverläufe des Senderausgangssignals bei der CW-Tastung dargestellt. Welcher Signalverlauf führt zu den geringsten Störungen?;;;;;;tk318_a.jpg;1.0;;tk318_b.jpg;1.0;;tk318_c.jpg;1.0;;tk318_d.jpg;1.0
TL101;In Bezug auf EMV sollten Vervielfacherstufen;;;;;gut abgeschirmt werden.;;;eine besonders abgeschirmte Spannungsversorgung erhalten.;;;in Kunststoff eingehüllt werden.;;;nur kapazitive Auskopplungen enthalten.;;
TL102;Um eine Amateurfunkstelle in Bezug auf EMV zu optimieren;;;;;sollten alle Einrichtungen mit einer guten HF-Erdung versehen werden.;;;sollte der Sender mit der Wasserleitung im Haus verbunden werden.;;;sollten alle schlechten Erdverbindungen entfernt werden.;;;sollten die Wasserleitungsanschlüsse aus Polyäthylen zur Isolation vorgesehen werden.;;
TL103;Ein Sender ist mittels eines kurzen Koaxialkabels an eine Kollinearantenne mit 6 dB Gewinn angeschlossen. Wenn die der Antenne zugeführte Ausgangsleistung auf 5 W verringert wird, treten keine Störungen der Hi-Fi-Anlage des Nachbarn auf. Die Strahlungsleistung entspricht dabei einer ERP von;;;;;20 W.;;;1 W.;;;10 W.;;;30 W.;;
TL201;Sie besitzen eine λ/4-Vertikalantenne. Da Sie für diese Antenne keine Selbsterklärung abgeben möchten und somit nur eine Strahlungsleistung von weniger als 10 W EIRP verwenden dürfen, müssen Sie die Sendeleistung soweit reduzieren, dass Sie unter diesem Wert bleiben. Wie groß darf die Sendeleistung ohne Berücksichtigung der Kabelverluste dabei sein?;;;;;3 Watt;;;10 Watt;;;5 Watt;;;2 Watt;;
TL202;Eine Amateurfunkstelle sendet in FM mit einer äquivalenten Strahlungsleistung (ERP)  von 100 W. Wie groß ist die Feldstärke im freien Raum in einer Entfernung von 100 m?;;;;;0,7 V/m;;;0,35 V/m;;;0,43 V/m;;;0,55 V/m;;
TL203;Sie möchten den Personenschutz-Sicherheitsabstand für die Antenne Ihrer Amateurfunkstelle für das 20-m-Band und die Betriebsart RTTY berechnen. Der Grenzwert im Fall des Personenschutzes beträgt 28 V/m. Sie betreiben einen Dipol, der von einem Sender mit einer Leistung von 700 W über ein Koaxialkabel gespeist wird. Die Kabeldämpfung beträgt 0,5 dB. Wie groß ist der Sicherheitsabstand?;;;;;6,3 m;;;8,9 m;;;2,1 m;;;5,2 m;;
TL204;Sie möchten den Personenschutz-Sicherheitsabstand für die Antenne Ihrer Amateurfunkstelle für das 2-m-Band und die Betriebsart FM berechnen. Der Grenzwert im Fall des Personenschutzes beträgt 28 V/m. Sie betreiben eine Yagi-Antenne mit einem Gewinn von 10,5 dBd. Die Antenne wird von einem Sender mit einer Leistung von 100 W über ein Koaxialkabel gespeist. Die Kabeldämpfung beträgt 1,5 dB. Wie groß ist der Sicherheitsabstand?;;;;;7,1 m;;;6,6 m;;;2,1 m;;;5,0 m;;
TL205;Sie möchten den Personenschutz-Sicherheitsabstand für die Antenne Ihrer Amateurfunkstelle für das 20-m-Band und die Betriebsart RTTY berechnen. Der Grenzwert im Fall des Personenschutzes beträgt 28 V/m. Sie betreiben einen Dipol, der von einem Sender mit einer Leistung von 300 W über ein Koaxialkabel gespeist wird. Die Kabeldämpfung beträgt 0,5 dB. Wie groß ist der Sicherheitsabstand?;;;;;4,1 m;;;5,8 m;;;3,4 m;;;1,4 m;;
TL206;Sie möchten den Personenschutz-Sicherheitsabstand für die Antenne Ihrer Amateurfunkstelle für das 10-m-Band und die Betriebsart RTTY berechnen. Der Grenzwert im Fall des Personenschutzes beträgt 28 V/m. Sie betreiben einen Dipol, der von einem Sender mit einer Leistung von 100 W über ein Koaxialkabel gespeist wird. Die Kabeldämpfung sei vernachlässigbar. Wie groß muss der Sicherheitsabstand sein?;;;;;2,50 m;;;1,96 m;;;5,01 m;;;13,7 m;;
TL207;Sie möchten den Personenschutz-Sicherheitsabstand für die Antenne Ihrer Amateurfunkstelle für das 10-m-Band und die Betriebsart FM berechnen. Der Grenzwert im Fall des Personenschutzes beträgt 28 V/m. Sie betreiben eine Yagi-Antenne mit einem Gewinn von 7,5 dBd. Die Antenne wird von einem Sender mit einer Leistung von 100 W über ein langes Koaxialkabel gespeist. Die Kabeldämpfung beträgt 1,5 dB. Wie groß muss der Sicherheitsabstand sein?;;;;;5,01 m;;;3,91 m;;;2,50 m;;;20,70 m;;
TL208;Sie möchten den Personenschutz-Sicherheitsabstand für die Antenne Ihrer Amateurfunkstelle in Hauptstrahlrichtung für das 2-m-Band und die Betriebsart FM berechnen. Der Grenzwert im Fall des Personenschutzes beträgt 28 V/m. Sie betreiben eine Yagi-Antenne mit einem Gewinn von 11,5 dBd. Die Antenne wird von einem Sender mit einer Leistung von 75 W über ein Koaxialkabel gespeist. Die Kabeldämpfung beträgt 1,5 dB. Wie groß muss der Sicherheitsabstand sein?;;;;;6,86 m;;;5,35 m;;;2,17 m;;;36,3 m;;
TL209;Warum ist im Nahfeld einer Strahlungsquelle keine einfache Umrechnung zwischen den Feldgrößen E, H und S und damit auch keine vereinfachte Berechnung des Schutzabstandes möglich?;;;;;Weil die elektrische und die magnetische Feldstärke im Nahfeld keine konstante Phasenbeziehung zueinander aufweisen.;;;Weil die elektrische und die magnetische Feldstärke im Nahfeld immer senkrecht aufeinander stehen und eine Phasendifferenz von 90° aufweisen.;;;Weil die elektrische und die magnetische Feldstärke im Nahfeld nicht senkrecht zur Ausbreitungsrichtung stehen und auf Grund des Einflusses der Erdoberfläche eine Phasendifferenz von größer 180° aufweisen.;;;Weil die elektrische und die magnetische Feldstärke im Nahfeld nicht exakt senkrecht aufeinander stehen und sich durch die nicht ideale Leitfähigkeit des Erdbodens am Sendeort der Feldwellenwiderstand des freien Raumes verändert.;;
TL210;Sie errechnen einen Sicherheitsabstand für Ihre Antenne. Von welchem Punkt aus muss dieser Sicherheitsabstand eingehalten werden, wenn Sie bei der Berechnung die Fernfeldnäherung verwendet haben? Er muss eingehalten werden?;;;;;von jedem Punkt der Antenne.;;;vom Einspeisepunkt der Antenne.;;;von der Mitte der Antenne, d.h. dort, wo sie am Mast befestigt ist.;;;vom untersten Punkt der Antenne.;;
TL211;Wie errechnen Sie die Leistung am Einspeisepunkt der Antenne (Antenneneingangsleistung) bei bekannter Senderausgangsleistung?;;;;;Sie addieren die Verluste zwischen Senderausgang und Antenneneingang und berechnen aus dieser Dämpfung einen Dämpfungsfaktor D die Antenneneingangsleistung ist dann P_Ant = D * P_Sender;;;Antenneneingangsleistung und Senderausgangsleistung sind gleich, da die Kabelverluste bei Amateurfunkstationen vernachlässigbar klein sind, d. h. es gilt P_Ant = P_Sender.;;;Die Antenneneingangsleistung ist der Spitzenwert der Senderausgangsleistung, also P_Ant = √2 * P_Sender;;;Die Antenneneingangsleistung ist der Spitzen-Spitzen-Wert der Senderausgangsleistung, also P_Ant = 2 * √2 * P_Sender;;
